sku,product_name,order_qty,available_qty,required
261487,Tuttofare Wood Pellet Catlitter,2,0,2
987654321,Rabbit Food 500g,10,1,9
6970989893310,Cature Natural Tofu Clumping Cat Litter 7L - 2.8kg,1,0,1
6972229782750,ITS MATE CLUMPING CATLITTER LAVENDER 5L,1,0,1
8698995027519,Reflex Plus Chicken Kitten 8kg,1,0,1
3182550721219,Royal Canin Persian Kitten 2Kg,1,0,1
5600276940113,Divinus Performance Dog Adult 20kg,1,0,1
8908009395115,PetFat Omega 3 Supplement 200ml,1,0,1
8850477002678,Smart Heart Power Pack Puppy 3kg,1,0,1
6952054900161,Emily Pet Original Litter 10L,1,0,1
